[14:58:19] [WARN ] Failed to parse recipe 'minecraft:jack_o_lantern[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe minecraft:jack_o_lantern[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe 'minecraft:turtle_helmet[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe minecraft:turtle_helmet[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe 'minecraft:bone_meal[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe minecraft:bone_meal[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe 'minecraft:diamond_boots[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe minecraft:diamond_boots[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe 'minecraft:pumpkin_pie[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe minecraft:pumpkin_pie[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe 'minecraft:netherite_axe[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe minecraft:netherite_axe[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe 'minecraft:soul_torch[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe minecraft:soul_torch[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe 'minecraft:iron_sword[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe minecraft:iron_sword[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe 'minecraft:sticky_piston[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe minecraft:sticky_piston[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe 'minecraft:white_wool_from_string[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe minecraft:white_wool_from_string[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe 'minecraft:netherite_boots[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe minecraft:netherite_boots[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe 'minecraft:leather_boots[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe minecraft:leather_boots[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe 'minecraft:iron_shovel[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe minecraft:iron_shovel[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe 'minecraft:leather_horse_armor[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe minecraft:leather_horse_armor[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe 'minecraft:melon_seeds[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe minecraft:melon_seeds[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe 'minecraft:enchanting_table[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe minecraft:enchanting_table[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe 'minecraft:leather_helmet[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe minecraft:leather_helmet[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe 'minecraft:tinted_glass[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe minecraft:tinted_glass[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe 'minecraft:iron_hoe[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe minecraft:iron_hoe[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe 'minecraft:wooden_hoe[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe minecraft:wooden_hoe[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe 'minecraft:map[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe minecraft:map[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe 'minecraft:crafting_table[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe minecraft:crafting_table[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe 'minecraft:anvil[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe minecraft:anvil[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
